f_version;f_equipo;f_hor_plan_s;f_hor_ter_s;f_hor_pend_s;f_hor_cap_d;f_hor_cap_c;f_hor_act_d;f_hor_act_o_d;f_hor_act_o;f_nro_req_pl;f_nro_req_t;f_nro_req_pe;f_nro_inc_pl;f_nro_inc_t;f_nro_inc_pe;f_nro_req_n;f_nro_rec;f_dias_sla_s
1.18.0131;Siesa BI - MLB;373;422;0;339;125;383;38;312;26;26;0;12;12;0;45;2;68
1.18.0328;Siesa BI - MLB;55;36;0;269;125;275;31;567;2;2;0;14;14;0;38;2;40
1.18.0531;Siesa BI - MLB;196;202;0;400;132;423;33;330;19;19;0;13;13;0;34;2;39
1.18.0731;Siesa BI - MLB;80;127;0;358;123;423;18;356;6;6;0;15;15;0;28;2;95
1.18.0928;Siesa BI - MLB;238;221;0;354;131;503;8;240;21;21;0;10;10;0;22;2;63
1.18.1130;Siesa BI - MLB;890;1621;0;373;136;403;3;180;60;60;0;10;10;0;22;2;74
1.19.0131;Siesa BI - MLB;146;267;0;325;122;161;31;323;10;10;0;15;15;0;33;2;2330
1.19.0329;Siesa BI - MLB;324;201;0;201;123;94;16;479;12;12;0;16;16;0;46;2;173
1.19.0531;Siesa BI - MLB;462;579;0;360;136;350;26;91;13;13;0;42;42;0;47;2;121
1.19.0731;Siesa BI - MLB;353;352;0;201;123;255;44;161;19;19;0;16;16;0;49;2;157
1.19.0930;Siesa BI - MLB;708;595;0;357;131;342;9;76;51;51;0;35;35;0;122;2;161
1.19.1129;Siesa BI - MLB;733;476;0;350;131;309;27;137;57;57;0;11;11;0;113;2;63
1.20.0131;Siesa BI - MLB;658;378;0;510;255;233;27;206;44;44;0;26;26;0;64;3;38
1.20.0331;Siesa BI - MLB;1334;806;0;510;255;402;32;232;99;99;0;36;36;0;77;3;94
1.20.0529;Siesa BI - MLB;1261;719;0;476;238;594;13;501;75;75;0;12;12;0;61;3;41
1.20.0731;Siesa BI - MLB;588;416;0;510;255;498;31;710;30;30;0;48;48;0;87;3;101
1.20.0930;Siesa BI - MLB;779;478;0;510;255;564;34;589;34;34;0;41;41;0;85;3;78
1.20.1130;Siesa BI - MLB;839;518;0;365;246;343;30;983;37;37;0;19;19;0;87;3;82
1.21.0129;Siesa BI - MLB;212;152;0;485;242;428;48;781;10;10;0;20;20;0;78;3;114
1.21.0331;Siesa BI - MLB;388;185;0;408;263;198;85;748;26;26;0;10;10;0;53;3;120
1.21.0531;Siesa BI - MLB;746;210;230;233;222;162;79;340;51;29;22;18;16;2;51;3;51
1.21.0730;Siesa BI - MLB;84;0;84;298;216;0;0;0;8;0;8;0;0;0;0;3;0
1.21.0930;Siesa BI - MLB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1.21.1130;Siesa BI - MLB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
