f_version;f_equipo;f_hor_plan_s;f_hor_ter_s;f_hor_pend_s;f_hor_cap_d;f_hor_cap_c;f_hor_act_d;f_hor_act_o_d;f_hor_act_o;f_nro_req_pl;f_nro_req_t;f_nro_req_pe;f_nro_inc_pl;f_nro_inc_t;f_nro_inc_pe;f_nro_req_n;f_nro_rec;f_dias_sla_s;sumatoria
1.19.0131;Siesa BI - IRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;NULL;4
1.19.0329;Siesa BI - IRI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;NULL;13
1.18.0131;Siesa BI - MLB;373;422;0;339;125;383;38;312;26;26;0;12;12;0;45;2;68;2183
1.18.0328;Siesa BI - MLB;55;36;0;269;125;275;31;567;2;2;0;14;14;0;38;2;40;1470
1.18.0531;Siesa BI - MLB;196;202;0;400;132;423;33;330;19;19;0;13;13;0;34;2;39;1855
1.18.0731;Siesa BI - MLB;80;127;0;358;123;423;18;356;6;6;0;15;15;0;28;2;95;1652
1.18.0928;Siesa BI - MLB;238;221;0;354;131;503;8;240;21;21;0;10;10;0;22;2;63;1844
1.18.1130;Siesa BI - MLB;890;1621;0;373;136;403;3;180;60;60;0;10;10;0;22;2;74;3844
1.19.0131;Siesa BI - MLB;146;267;0;325;122;161;31;323;10;10;0;15;15;0;33;2;2330;3790
1.19.0329;Siesa BI - MLB;324;201;0;201;123;94;16;479;12;12;0;16;16;0;46;2;173;1715
1.19.0531;Siesa BI - MLB;462;579;0;360;136;350;26;91;13;13;0;42;42;0;47;2;121;2284
1.19.0731;Siesa BI - MLB;353;352;0;201;123;255;44;161;19;19;0;16;16;0;49;2;157;1767
1.19.0930;Siesa BI - MLB;708;595;0;357;131;342;9;76;51;51;0;35;35;0;122;2;161;2675
1.19.1129;Siesa BI - MLB;733;476;0;350;131;309;27;137;57;57;0;11;11;0;113;2;63;2477
1.20.0131;Siesa BI - MLB;658;378;0;510;255;233;27;206;44;44;0;26;26;0;64;3;38;2512
1.20.0331;Siesa BI - MLB;1334;806;0;510;255;402;32;232;99;99;0;36;36;0;77;3;94;4015
1.20.0529;Siesa BI - MLB;1261;719;0;476;238;594;13;501;75;75;0;12;12;0;61;3;41;4081
1.20.0731;Siesa BI - MLB;588;416;0;510;255;498;31;710;30;30;0;48;48;0;87;3;101;3355
1.20.0930;Siesa BI - MLB;779;478;0;510;255;564;34;589;34;34;0;41;41;0;85;3;78;3525
1.20.1130;Siesa BI - MLB;839;518;0;365;246;343;30;983;37;37;0;19;19;0;87;3;82;3608
1.21.0129;Siesa BI - MLB;212;152;0;485;242;428;48;781;10;10;0;20;20;0;78;3;114;2603
1.21.0331;Siesa BI - MLB;388;185;0;408;263;198;85;748;26;26;0;10;10;0;53;3;120;2523
1.21.0531;Siesa BI - MLB;746;210;230;233;222;165;80;341;51;29;22;18;16;2;51;3;51;2470
1.21.0730;Siesa BI - MLB;84;0;84;298;216;0;0;0;8;0;8;0;0;0;0;3;0;701
1.18.0131;Siesa FrameWork;553;1190;0;185;0;600;2;199;33;33;0;10;10;0;43;1;152;3011
1.18.0328;Siesa FrameWork;647;894;0;238;0;611;35;78;35;35;0;10;10;0;36;1;234;2864
1.18.0531;Siesa FrameWork;871;621;0;259;0;668;28;113;39;39;0;11;11;0;54;1;1402;4117
1.18.0731;Siesa FrameWork;233;160;0;234;0;580;18;208;7;7;0;3;3;0;17;1;518;1989
1.18.0928;Siesa FrameWork;73;187;0;217;0;525;NULL;446;10;10;0;3;3;0;12;1;87;1574
1.18.1130;Siesa FrameWork;356;482;0;263;0;664;NULL;158;9;9;0;2;2;0;40;1;918;2904
1.19.0131;Siesa FrameWork;923;802;0;616;245;717;2;215;28;28;0;6;6;0;50;4;169;3811
1.19.0329;Siesa FrameWork;586;869;0;474;0;885;9;211;35;35;0;4;4;0;41;2;174;3329
1.19.0531;Siesa FrameWork;705;797;0;493;238;866;17;230;26;26;0;3;3;0;43;3;1082;4532
1.19.0731;Siesa FrameWork;488;1298;0;444;103;714;1;358;36;36;0;6;6;0;37;3;156;3686
1.19.0930;Siesa FrameWork;473;1406;0;503;248;905;NULL;176;50;50;0;18;18;0;79;3;82;4011
1.19.1129;Siesa FrameWork;1477;1217;0;590;231;1022;3;321;78;78;0;24;24;0;110;4;185;5364
1.20.0131;Siesa FrameWork;1153;1435;0;974;187;1341;0;234;57;57;0;15;15;0;85;5;455;6013
1.20.0331;Siesa FrameWork;2385;2516;0;950;237;1214;NULL;214;100;100;0;15;15;0;79;5;256;8086
1.20.0529;Siesa FrameWork;2047;1815;0;935;233;1418;2;326;88;88;0;24;24;0;97;5;55;7157
1.20.0731;Siesa FrameWork;1639;1855;0;1002;250;1648;16;273;55;55;0;17;17;0;74;5;218;7124
1.20.0930;Siesa FrameWork;983;1388;0;1002;250;1346;187;370;47;47;0;8;8;0;66;5;213;5920
1.20.1130;Siesa FrameWork;1232;1217;16;874;242;1362;15;501;58;56;2;10;10;0;71;5;258;5929
1.21.0129;Siesa FrameWork;295;279;0;1232;0;1411;15;501;10;10;0;3;3;0;43;5;340;4147
1.21.0331;Siesa FrameWork;1099;1556;348;1054;263;1637;22;251;34;26;8;9;5;4;65;5;199;6585
1.21.0531;Siesa FrameWork;1338;393;762;986;246;818;3;319;38;19;19;9;3;6;22;5;57;5043
1.21.0730;Siesa FrameWork;0;0;0;952;238;0;0;0;0;0;0;0;0;0;0;5;0;1195
1.21.0930;Siesa FrameWork;0;0;0;1360;0;0;0;0;0;0;0;0;0;0;0;5;0;1365
1.21.1130;Siesa FrameWork;0;0;0;1232;0;0;0;0;0;0;0;0;0;0;0;5;0;1237
1.18.0131;Siesa Migracion;38;166;0;322;44;479;16;206;2;2;0;8;8;0;11;2;30;1334
1.18.0328;Siesa Migracion;286;389;0;380;68;567;12;161;6;6;0;2;2;0;12;2;67;1960
1.18.0531;Siesa Migracion;132;1174;0;441;76;616;11;190;3;3;0;1;1;0;8;2;8;2666
1.18.0731;Siesa Migracion;36;0;0;370;88;808;5;335;2;2;0;0;0;0;3;2;NULL;1651
1.18.0928;Siesa Migracion;0;105;0;384;54;809;12;427;1;1;0;0;0;0;6;2;66;1867
